"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка 'валидности' изображения осуществляется по параметрам (properties) ширины и высоты исходного изображения. Т.к. у сломанного изображения 'naturalWidth' и 'naturalHeight' будут 0.","308","Изображение сломано (broken), но отображается на странице. Файл asdf.jpg.","","2026-07-09","passed","2026-07-09","","Проверки раздела 'Broken images'","tests.BrokenImagesTests","pageImagesFromValuesIsBroken"
"","1580","Проверка элементов страницы","","2026-07-09","passed","2026-07-09","","Проверки раздела 'Context Menu'","tests.ContextMenuTests","contextMenuPageShouldBeValid"
"","1945","Проверка выбора элементов выпадающего меню","","2026-07-09","passed","2026-07-09","","Проверки раздела 'Dropdown List'","tests.DropDownTests","selectDropdownOptionsAndVerifySelected"
"","1853","Проверка статичного отображения текста и заголовка страницы без сброса cookies","","2026-07-09","passed","2026-07-09","","Проверки раздела 'A/B Testing'","tests.ABTestingTests","abTestsPageDisplayedStaticControlVersionWithoutClearingCookies"
"","1840","Пользователь может добавлять элементы на страницу нажатием кнопки 'Add Element'","","2026-07-09","passed","2026-07-09","","Проверки раздела 'Add/Remove Elements'","tests.AddRemoveElementsTests","userCanAddElementByClickOnAddElementsButton"
"","412","Навигация по разделам главной страницы Переход по ссылке: ""Typos"" → ожидаемый endpoint: ""/typos""","","2026-07-09","passed","2026-07-09","","Проверки главной страницы 'The-Internet'","tests.HomePageTests","userCanClickOnLinkFromLinksList"
"","1048","Пользователь может авторизоваться через 'Digest Auth' с валидной учетной записью","","2026-07-09","passed","2026-07-09","","Проверки раздела 'Digest Auth'","tests.DigestAuthorizationTests","userCanPassDigestAuth"
"","3228","Пользователь не будет авторизован через 'Digest Auth' с некорректной учетной записью","","2026-07-09","passed","2026-07-09","","Проверки раздела 'Digest Auth'","tests.DigestAuthorizationTests","userCanNotPassDigestAuthWithWrongCredentials"
"","521","Навигация по разделам главной страницы Переход по ссылке: ""File Upload"" → ожидаемый endpoint: ""/upload""","","2026-07-09","passed","2026-07-09","","Проверки главной страницы 'The-Internet'","tests.HomePageTests","userCanClickOnLinkFromLinksList"
"","4858","Чек-бокс может быть удален со страницы","","2026-07-09","passed","2026-07-09","","Проверки страницы 'Dynamic Controls'","tests.DynamicControlsTests","checkboxCanBeRemoved"
"","624","Навигация по разделам главной страницы Переход по ссылке: ""Large & Deep DOM"" → ожидаемый endpoint: ""/large""","","2026-07-09","passed","2026-07-09","","Проверки главной страницы 'The-Internet'","tests.HomePageTests","userCanClickOnLinkFromLinksList"
"Проверка навигации на страницы осуществляется по URL и заголовку. На каждой странице есть заголовок 1-ого уровня, который содержит текст 'Not found' (особенности ресурса). Единственно работающий раздел -> HOME. Он осуществляет редирект на главную страницу 'The Internet Hero Ku App'.","398","Навигация по разделам страницы 'Disappearing Elements' Переход по ссылке: ""Portfolio"" → ожидаем endpoint: ""/portfolio/"" → и заголовок: ""Not Found""","","2026-07-09","passed","2026-07-09","","Проверки раздела 'Disappearing Elements'","tests.DisappearingElementsTests","userCanNavigateToThePageByLinkFromDisappearingElementsPage"
"","429","Навигация по разделам главной страницы Переход по ссылке: ""Inputs"" → ожидаемый endpoint: ""/inputs""","","2026-07-09","passed","2026-07-09","","Проверки главной страницы 'The-Internet'","tests.HomePageTests","userCanClickOnLinkFromLinksList"
"","553","Навигация по разделам главной страницы Переход по ссылке: ""Sortable Data Tables"" → ожидаемый endpoint: ""/tables""","","2026-07-09","passed","2026-07-09","","Проверки главной страницы 'The-Internet'","tests.HomePageTests","userCanClickOnLinkFromLinksList"
"","435","Навигация по разделам главной страницы Переход по ссылке: ""Dynamic Loading"" → ожидаемый endpoint: ""/dynamic_loading""","","2026-07-09","passed","2026-07-09","","Проверки главной страницы 'The-Internet'","tests.HomePageTests","userCanClickOnLinkFromLinksList"
"","5224","Пользователь может авторизоваться через 'Basic Auth' с валидной учетной записью","","2026-07-09","passed","2026-07-09","","Проверки раздела 'Basic Auth'","tests.BasicAuthorizationTests","userCanPassBasicAuthWith"
"","394","Навигация по разделам главной страницы Переход по ссылке: ""Drag and Drop"" → ожидаемый endpoint: ""/drag_and_drop""","","2026-07-09","passed","2026-07-09","","Проверки главной страницы 'The-Internet'","tests.HomePageTests","userCanClickOnLinkFromLinksList"
"В тесте изменяется состояние только указанного в параметрах чек-боксах","298","Проверка изменения состояния чек-бокса. Меняем checkbox 2.","","2026-07-09","passed","2026-07-09","","Проверки раздела 'Checkboxes'","tests.CheckboxesTests","checkboxesCanBeFoundByNameAndChecked"
"","465","Навигация по разделам главной страницы Переход по ссылке: ""Infinite Scroll"" → ожидаемый endpoint: ""/infinite_scroll""","","2026-07-09","passed","2026-07-09","","Проверки главной страницы 'The-Internet'","tests.HomePageTests","userCanClickOnLinkFromLinksList"
"","416","Навигация по разделам главной страницы Переход по ссылке: ""Dropdown"" → ожидаемый endpoint: ""/dropdown""","","2026-07-09","passed","2026-07-09","","Проверки главной страницы 'The-Internet'","tests.HomePageTests","userCanClickOnLinkFromLinksList"
"","394","Валидация элементов страницы Broken images","","2026-07-09","passed","2026-07-09","","Проверки раздела 'Broken images'","tests.BrokenImagesTests","brokenImagePageValidAndContainsImages"
"","1733","Навигация по разделам главной страницы Переход по ссылке: ""A/B Testing"" → ожидаемый endpoint: ""/abtest""","","2026-07-09","passed","2026-07-09","","Проверки главной страницы 'The-Internet'","tests.HomePageTests","userCanClickOnLinkFromLinksList"
"","0","Пользователь может удалять чек-бокс и включать ввод текста в поле","","2026-07-09","skipped","2026-07-09","","Проверки страницы 'Dynamic Controls'","tests.DynamicControlsTests","userCanRemoveCheckboxAndEnableTextField"
"Каждое нажатие клавиши страницы меняет текст самой клавиши и Canvas. Случайный текст проверять не имеет
смысла, поэтому проверяется Canvas. Текст Canvas определяем из текста элемента <script> .. </script>
страницы.
","880","Проверяем что нажатие клавиш меняет значение Canvas.","","2026-07-09","passed","2026-07-09","","Проверки раздела 'Challenging DOM'","tests.ChallengingDomTests","clickOnPageButtonsUpdatingCanvas"
"Проверка навигации на страницы осуществляется по URL и заголовку. На каждой странице есть заголовок 1-ого уровня, который содержит текст 'Not found' (особенности ресурса). Единственно работающий раздел -> HOME. Он осуществляет редирект на главную страницу 'The Internet Hero Ku App'.","378","Навигация по разделам страницы 'Disappearing Elements' Переход по ссылке: ""About"" → ожидаем endpoint: ""/about/"" → и заголовок: ""Not Found""","","2026-07-09","passed","2026-07-09","","Проверки раздела 'Disappearing Elements'","tests.DisappearingElementsTests","userCanNavigateToThePageByLinkFromDisappearingElementsPage"
"","27333","Текущая страница является одним из допустимых А/В вариантов страницы","","2026-07-09","passed","2026-07-09","","Проверки раздела 'A/B Testing'","tests.ABTestingTests","pageShouldBeValidABVariant"
"","1740","На странице 'Challenging DOM' все элементы загружены и отображаются","","2026-07-09","passed","2026-07-09","","Проверки раздела 'Challenging DOM'","tests.ChallengingDomTests","challengingPageLoadedAndValid"
"","279","Пользователь может посмотреть варианты A/B. Раздел /abtest_cookies открыт и содержит заголовок A/B Test Cookies.","","2026-07-09","passed","2026-07-09","","Проверки раздела 'A/B Testing'","tests.ABTestingTests","abTestsPageCanBeDirectlyOpened"
"","550","Навигация по разделам главной страницы Переход по ссылке: ""Dynamic Content"" → ожидаемый endpoint: ""/dynamic_content""","","2026-07-09","passed","2026-07-09","","Проверки главной страницы 'The-Internet'","tests.HomePageTests","userCanClickOnLinkFromLinksList"
"","465","Навигация по разделам главной страницы Переход по ссылке: ""Exit Intent"" → ожидаемый endpoint: ""/exit_intent""","","2026-07-09","passed","2026-07-09","","Проверки главной страницы 'The-Internet'","tests.HomePageTests","userCanClickOnLinkFromLinksList"
"","640","Навигация по разделам главной страницы Переход по ссылке: ""JQuery UI Menus"" → ожидаемый endpoint: ""/jqueryui/menu""","","2026-07-09","passed","2026-07-09","","Проверки главной страницы 'The-Internet'","tests.HomePageTests","userCanClickOnLinkFromLinksList"
"","416","Навигация по разделам главной страницы Переход по ссылке: ""Context Menu"" → ожидаемый endpoint: ""/context_menu""","","2026-07-09","passed","2026-07-09","","Проверки главной страницы 'The-Internet'","tests.HomePageTests","userCanClickOnLinkFromLinksList"
