"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Проверка отображения и взаимодействия с элементами страницы","12","1","","0"
"0","","0","Welcome to the-internet","43","2","Проверка элементов главной страницы","0"
"0","","0","Раздел A/B Testing","6","1","Тестирование вариантов отображения страницы 'A/B Testing'","0"
"0","","0","Раздел 'Challenging DOM'","4","0","Тестирование страницы 'Challenging DOM'","0"
"0","","0","Проверка кнопок и Canvas","1","0","Тестирование страницы 'Challenging DOM'","0"
"0","","0","Проверка взаимодействия с элементами 'Dynamic Controls'","4","3","","0"
"0","","0","","2","2","Проверка авторизации пользователей через 'Basic Auth'","0"
"0","","0","Раздел A/B Testing","3","0","Пользователь может посмотреть варианты A/B по прямой ссылке","0"
"0","","0","","2","0","Проверка авторизации пользователей через 'Digest Auth'","0"
"0","","0","","4","0","Проверки на отображение, поиск и взаимодействие с input чек-боксами","0"
"0","","0","","2","0","Проверки на отображение, и вызов контекстного меню","0"
"0","","0","Проверки раздела 'Add/Remove Elements'","3","0","Тестирование добавления и удаления элементов в разделе","0"
"0","","0","Тестирование таблицы","2","0","Тестирование страницы 'Challenging DOM'","0"
"0","","0","","4","0","Валидация изображений по naturalDimensions","0"
"0","","0","Валидация страницы 'Challenging DOM'","1","0","Тестирование страницы 'Challenging DOM'","0"
"0","","0","Раздел A/B Testing","0","1","Тестирование вариантов отображения страницы A/B/ (+C) Testing по прямой ссылке","0"
